stage_id,name,input_count,output_count,removed_count,pct_removed,primary_reason,blocker_type,note
F0,raw_provider_rows,1070,1004,66,6.17,deduplicate_provider_rows,hard_technical,IDs not retained in broad audit
F1,deduplicated_fixtures,1004,1004,0,0.0,prematch_status_filter,hard_technical,
F2,inside_target_vienna_dates,1004,1004,0,0.0,already_date_scoped_at_fetch,hard_technical,Each day fetched with Vienna date; sum across 5 days
F3,football_fixture_validity,1004,93,911,90.74,tier_a_b_allowlist_vs_unsupported_friendly,soft_policy,unsupported=826 friendly=85
F4,supported_competition,93,93,0,0.0,owner_tier_a_plus_tier_b,soft_policy,
F5,owner_scope,93,92,0,0.0,mission_discovered_equals_prediction_candidates,soft_policy,93 mission discovered
F6,valid_identity_non_duplicate,92,92,0,0.0,no_additional_dedupe_in_mission,hard_technical,
F7,prematch_status,92,92,0,0.0,discovery_already_prematch,hard_technical,
F8,legitimate_fresh_odds,77,77,0,0.0,fresh_1x2_required,hard_technical,
F9,canonical_prediction_complete,92,77,15,16.3,prediction_incomplete_or_blocked,hard_technical,
F10,immutable_freeze_valid,77,77,0,0.0,missing_freeze_id,hard_technical,
F11,required_shadow_outputs_available,77,77,0,0.0,core_wde_ecse_exact_or_freshness,hard_technical,
F12,direction_inference_valid_every_core_model,77,77,0,0.0,core_direction_missing,hard_technical,
F13,no_severe_forensic_contradiction,77,77,0,0.0,forensic_severe,hard_technical,
F14,no_severe_direction_conflict,77,42,35,45.45,multi_model_direction_conflict,soft_policy,
F15,no_bet_false,42,2,40,95.24,canonical_no_bet_true_hard_exclude,soft_policy,
F16,agreement_status_eligible,2,1,1,50.0,requires_unanimous_or_strong,soft_policy,
F17,final_ranking_threshold,1,1,0,0.0,research_classification_gate,soft_policy,
F18,final_shortlist,1,1,0,0.0,top12_cap,soft_policy,
